Right Shoulder Abduction;Right Shoulder Internal;Right Shoulder Flexion;Right Elbow Pronation;Right Elbow Flexion;Right Wrist Ulnar;Right Wrist Flexion;Right Hip Flexion;Right Knee Flexion;Right Ankle Dorsiflexion;Left Shoulder Abduction;Left Shoulder Internal;Left Shoulder Flexion;Left Elbow Pronation;Left Elbow Flexion;Left Wrist Ulnar;Left Wrist Flexion;Left Hip Flexion;Left Knee Flexion;Left Ankle Dorsiflexion;Right Pelvis X;Right Pelvis Y;Right Pelvis Z;Right Pelvis Q0;Right Pelvis Q1;Right Pelvis Q2;Right Pelvis Q3;Left Pelvis X;Left Pelvis Y;Left Pelvis Z;Left Pelvis Q0;Left Pelvis Q1;Left Pelvis Q2;Left Pelvis Q3
13,89028452;12,04854217;18,63090951;128,4196572;49,50102412;-6,810747436;-13,80786915;52,17733027;76,07530948;-4,173252222;12,74003148;11,22864071;17,28547328;123,0546432;48,70317069;-4,935876607;-14,31713128;52,52943474;77,76455027;-5,050820723;-0,119374803;-0,276953489;0,353553823;0,686875485;0,169194441;-0,180392041;0,673752658;-0,089659974;-0,282996634;0,352054241;0,666540197;0,16833725;-0,189517546;0,691753736
13,90142256;11,96278756;18,59902386;128,4684327;49,6021138;-6,810599669;-13,82550915;52,26468912;75,3462843;-4,178716945;12,75942717;11,13387713;17,21171312;123,1023705;48,85728611;-4,937138919;-14,32630658;52,65223011;76,91308549;-5,016884838;-0,119343804;-0,276978975;0,353542138;0,687001038;0,169325507;-0,180401573;0,673589085;-0,089651424;-0,283045361;0,352059335;0,666355457;0,168232443;-0,18958972;0,691936911
13,90852035;11,8870784;18,55627156;128,5274089;49,71002443;-6,811226309;-13,84318016;52,35443541;74,54067759;-4,151686199;12,78028644;11,03318946;17,1365032;123,1743547;49,01967364;-4,942309266;-14,33558688;52,78299636;75,97023856;-4,936717835;-0,119314383;-0,277009285;0,353535236;0,687143234;0,169482692;-0,180409919;0,673404728;-0,089640765;-0,28309921;0,352067147;0,666135855;0,168101404;-0,189663202;0,692160783
13,9136796;11,82333641;18,50741948;128,5929311;49,82433671;-6,80937697;-13,86217032;52,44191522;73,57573497;-4,076696028;12,80536959;10,92694209;17,06282725;123,2700302;49,18683963;-4,946932899;-14,34904863;52,91529088;74,85879389;-4,772512296;-0,119281458;-0,277038983;0,353529317;0,687301722;0,169673903;-0,18042427;0,67319736;-0,089633551;-0,28315771;0,352071548;0,665886237;0,167948263;-0,189747;0,69241529
13,91963971;11,76259737;18,4494483;128,6498795;49,9564851;-6,807411419;-13,87760042;52,54171387;72,46454669;-3,92823058;12,83440667;10,81865149;16,99062245;123,376237;49,37533259;-4,952588035;-14,3711242;53,05646869;73,59455831;-4,524069775;-0,11924812;-0,277072211;0,353525277;0,687503367;0,169861297;-0,180408162;0,672960255;-0,08961943;-0,283222237;0,352076504;0,665615512;0,167764044;-0,189843337;0,692692066
13,92795089;11,70147352;18,39081469;128,702807;50,09830733;-6,808488167;-13,89031789;52,64379738;71,21930765;-3,730379629;12,86320349;10,70966054;16,91709395;123,4848243;49,5795014;-4,956438088;-14,39813241;53,20104076;72,16537719;-4,226719263;-0,119212178;-0,277104768;0,353522381;0,687712433;0,170068269;-0,180391727;0,672716269;-0,089600104;-0,283283072;0,35208001;0,66530628;0,167575593;-0,189954909;0,693001037
13,9418921;11,62816558;18,3272882;128,74906;50,25466735;-6,812126318;-13,89967579;52,75008814;69,83819021;-3,481324928;12,89254891;10,5992508;16,84030823;123,5906556;49,80639663;-4,961903836;-14,42632899;53,34985611;70,57590689;-3,885114261;-0,119174498;-0,277132174;0,353521257;0,687929846;0,170295716;-0,18038762;0,67246307;-0,089575772;-0,283341757;0,352082644;0,664974148;0,16738899;-0,190077679;0,69332877
13,96013328;11,54385204;18,26328114;128,7854777;50,42001071;-6,821562693;-13,90692091;52,85852762;68,3007938;-3,195491703;12,9191837;10,4925278;16,76184805;123,6866319;50,04366152;-4,971265503;-14,45098891;53,48717685;68,79987992;-3,499128717;-0,119137171;-0,277150544;0,353520294;0,688143724;0,170528725;-0,180396299;0,67221296;-0,089550728;-0,283386823;0,352088444;0,664629587;0,167243623;-0,190255814;0,693647262
13,98477164;11,44588209;18,20012639;128,8147024;50,59278571;-6,833121002;-13,91425293;52,96351651;66,61604928;-2,871019636;12,94522612;10,38091685;16,67836693;123,7749473;50,2968588;-4,984568894;-14,470883;53,62329129;66,86550434;-3,067700502;-0,11909408;-0,277157149;0,35351924;0,688362349;0,170787773;-0,180443614;0,671949267;-0,089532962;-0,283424759;0,352091159;0,664281127;0,167117943;-0,19045506;0,693961608
14,01342181;11,34477346;18,13633521;128,825982;50,76496176;-6,842537235;-13,91766291;53,05844307;64,77588089;-2,511157265;12,97158559;10,26838007;16,59349066;123,8459691;50,55102487;-5,000662313;-14,48295547;53,74316386;64,75353542;-2,596174458;-0,119047864;-0,277151687;0,353520105;0,688565671;0,171066363;-0,180526058;0,671692663;-0,089529608;-0,2834472;0,352094835;0,663934336;0,167044341;-0,190703679;0,694256079
14,0460027;11,23916785;18,07131668;128,8205536;50,94064936;-6,848909539;-13,91693777;53,13639483;62,77425854;-2,098982583;13,00004078;10,14270131;16,50757024;123,9054181;50,81594338;-5,016892524;-14,4884073;53,85644925;62,48807879;-2,100182895;-0,118998017;-0,277131217;0,353525137;0,68875201;0,171391113;-0,180674966;0,671429138;-0,089542593;-0,283459738;0,352092351;0,663607203;0,167012379;-0,19097294;0,694519101
14,0814617;11,13070759;18,00465173;128,791457;51,11598393;-6,850487663;-13,90858138;53,20076394;60,62715297;-1,652854188;13,03372573;10,01397617;16,425764;123,9421414;51,07829322;-5,032189174;-14,48451657;53,95432264;60,06827179;-1,605393167;-0,118940896;-0,277098461;0,353535321;0,68893052;0,17174151;-0,180869918;0,671161215;-0,089577262;-0,28345714;0,352090503;0,663324561;0,167031798;-0,191271765;0,694724811
14,11909766;11,01910451;17,93591465;128,7390598;51,29624638;-6,846792772;-13,8900081;53,25435683;58,34858954;-1,184028626;13,06856705;9,875025443;16,34511574;123,9709201;51,3432517;-5,045481315;-14,47318493;54,04419214;57,52075724;-1,097518754;-0,118876599;-0,277052879;0,353549478;0,689090967;0,172117049;-0,181102339;0,670900502;-0,089620128;-0,283444463;0,35208487;0,663069606;0,167090906;-0,191579467;0,694897977
14,15696865;10,90705757;17,86558667;128,669657;51,48187744;-6,842177099;-13,86403242;53,29534959;55,94035417;-0,694554097;13,10484798;9,738569999;16,27157451;123,9831877;51,59375692;-5,056242299;-14,45154208;54,12135356;54,84577617;-0,601461933;-0,11880183;-0,276997073;0,353566047;0,689229413;0,172501621;-0,181379555;0,670651276;-0,089683428;-0,283419422;0,352072951;0,662861316;0,16719534;-0,191887862;0,695021159
14,19317474;10,79745569;17,79643819;128,5962903;51,66828028;-6,838328462;-13,82797581;53,32560309;53,40204783;-0,196318742;13,14393831;9,605679907;16,20404458;123,9818212;51,83261642;-5,0647582;-14,42517936;54,19233192;52,06829722;-0,10700572;-0,118717018;-0,276935619;0,353578603;0,689340988;0,172880997;-0,181673685;0,670428198;-0,089760039;-0,283387608;0,352051725;0,662696221;0,167326992;-0,192183151;0,695102643
14,22787389;10,69508698;17,73189228;128,5286718;51,85575323;-6,839756243;-13,78955817;53,34788907;50,75046001;0,304281132;13,18354856;9,480943571;16,14483829;123,9767953;52,05043595;-5,069692974;-14,39540019;54,25484198;49,20198017;0,395250444;-0,118623032;-0,276872307;0,35358493;0,689420044;0,173245911;-0,181986491;0,670239032;-0,089853717;-0,283348479;0,352022002;0,66258013;0,167488428;-0,192450713;0,695142023
14,25798869;10,60986282;17,67401512;128,4794647;52,03755261;-6,849624189;-13,74957541;53,36670761;47,99342646;0,798453828;13,22187606;9,371043421;16,0929126;123,9639325;52,25392691;-5,071224412;-14,36730803;54,31114841;46,25859792;0,898779354;-0,11852521;-0,276811027;0,353580456;0,689472975;0,173563782;-0,182280885;0,670090223;-0,089961083;-0,283308086;0,351984655;0,662511617;0,167674219;-0,192680628;0,695139428
