Right Shoulder Abduction;Right Shoulder Internal;Right Shoulder Flexion;Right Elbow Pronation;Right Elbow Flexion;Right Wrist Ulnar;Right Wrist Flexion;Right Hip Flexion;Right Knee Flexion;Right Ankle Dorsiflexion;Left Shoulder Abduction;Left Shoulder Internal;Left Shoulder Flexion;Left Elbow Pronation;Left Elbow Flexion;Left Wrist Ulnar;Left Wrist Flexion;Left Hip Flexion;Left Knee Flexion;Left Ankle Dorsiflexion;Right Pelvis X;Right Pelvis Y;Right Pelvis Z;Right Pelvis Q0;Right Pelvis Q1;Right Pelvis Q2;Right Pelvis Q3
3,909355299;53,64675772;78,14631585;116,9742068;-6,150078005;-1,723638255;6,252106471;61,90067339;79,26181055;-2,238070819;0,61948178;47,42175876;74,65633093;108,1395988;-4,62762645;-5,979151051;5,553062942;64,19719076;83,3019869;-0,467919369;-0,109207576;-0,257061969;0,33623309;0,70234622;0,096844004;-0,131616789;0,678865734
3,92652225;53,6465578;78,11732199;116,9805524;-6,138692399;-1,725635561;6,252026852;61,86244124;79,31696802;-2,315759596;0,632789934;47,42117519;74,63410252;108,1205515;-4,625177472;-5,981832889;5,547393563;64,05757416;83,25887623;-0,455777839;-0,109189205;-0,256968202;0,341427224;0,702238588;0,097297985;-0,132192346;0,67873485
3,944563342;53,64330477;78,08545615;116,9849999;-6,1314405;-1,724935879;6,250485071;61,80889899;79,37054765;-2,392684109;0,644888883;47,41584777;74,61333675;108,0950039;-4,621448224;-5,988283094;5,542987812;63,90487899;83,21646464;-0,444255196;-0,109174538;-0,256875968;0,341817897;0,702115616;0,097837236;-0,132851359;0,678574098
3,961578021;53,63943828;78,05715894;116,9863005;-6,124700324;-1,721890545;6,251850999;61,75359561;79,4106883;-2,46793332;0,653242529;47,40389828;74,59006528;108,0770224;-4,61135296;-5,99223206;5,538591903;63,76871393;83,18284147;-0,430991563;-0,109166543;-0,256791371;0,342044257;0,702001411;0,098335283;-0,133442144;0,678428515
3,973024852;53,63679509;78,03640747;116,9873328;-6,115341279;-1,715462295;6,249533658;61,69467061;79,42950137;-2,541318761;0,665661588;47,39583986;74,56744848;108,0689029;-4,596864838;-5,98996971;5,531526768;63,65720292;83,16215546;-0,415778738;-0,109164773;-0,256712569;0,34220806;0,701901557;0,098773082;-0,133930535;0,678306642
3,986210251;53,63773733;78,01835323;116,992467;-6,103086855;-1,707651415;6,243284239;61,63431118;79,43514834;-2,613321765;0,677381096;47,39587632;74,55480372;108,0650319;-4,587063697;-5,985508121;5,521652677;63,56235273;83,14945264;-0,400245357;-0,109166876;-0,256637114;0,342337768;0,701812891;0,099170273;-0,134348974;0,678200146
3,994010157;53,63485605;78,00060898;116,9975846;-6,092276149;-1,702552475;6,234895183;61,55503621;79,41308346;-2,660190244;0,682985381;47,39226543;74,53945543;108,0657184;-4,582428967;-5,982328568;5,512733822;63,43421501;83,10531976;-0,394707858;-0,109194187;-0,256591418;0,342461666;0,7017071;0,099629767;-0,134855475;0,678125381
3,994242538;53,6257354;77,9730563;117,0012854;-6,083585785;-1,696607476;6,225328457;61,38585649;79,3880002;-2,70607506;0,674152579;47,38724493;74,51083294;108,0639882;-4,578473197;-5,98024192;5,503856262;63,21183637;82,97161536;-0,374788648;-0,109089629;-0,256610144;0,34262901;0,701497929;0,10032203;-0,135583453;0,678116327
4,00388132;53,62001549;77,96356572;117,0030764;-6,078967475;-1,690756732;6,221604127;61,32108724;79,3865573;-2,765941654;0,676023057;47,38303337;74,49661093;108,0601633;-4,570565331;-5,97452849;5,494181132;63,12663501;82,94710523;-0,357909301;-0,108991266;-0,256604164;0,342770182;0,701417018;0,100661138;-0,135933164;0,678043692
4,010627817;53,61766139;77,95291201;117,007751;-6,07671664;-1,685534716;6,225234834;61,27230114;79,38381478;-2,815658783;0,684573384;47,37858651;74,48251601;108,0709444;-4,56025968;-5,967862523;5,484878081;63,06148603;82,93904021;-0,346626433;-0,108919468;-0,256583925;0,342884155;0,701354515;0,100942569;-0,136217906;0,677971294
4,010150348;53,61628275;77,94769873;117,0094378;-6,074911512;-1,679146929;6,227800228;61,22951375;79,38105295;-2,860628195;0,696389154;47,37701243;74,47414399;108,0978553;-4,553428542;-5,964041761;5,478549169;63,00451732;82,9333881;-0,336227684;-0,108860017;-0,256550944;0,342975303;0,701299548;0,10118893;-0,136470535;0,677904835
4,009680785;53,61643699;77,93869211;117,0030999;-6,072194065;-1,672299037;6,226778037;61,1910877;79,37856908;-2,900358268;0,704221816;47,37987437;74,46361177;108,1152844;-4,551670848;-5,96387587;5,47587629;62,95349799;82,9289726;-0,326766675;-0,108835542;-0,25650994;0,34304692;0,701251665;0,10140897;-0,136695857;0,677844027
4,000029923;53,60489922;77,92301698;117,0021371;-6,067268022;-1,668900101;6,227896514;61,03229571;79,34202248;-2,920712681;0,709807521;47,36480453;74,4555215;108,1096606;-4,550729949;-5,966647966;5,4774675;62,74512765;82,84577312;-0,3273688;-0,108795422;-0,256455597;0,343200374;0,701217786;0,10212649;-0,137428881;0,677762946
3,999005551;53,59648243;77,90827274;117,0169486;-6,060585292;-1,666430646;6,232559913;60,81136474;79,26105553;-2,929164776;0,688181291;47,35830956;74,43830981;108,0976259;-4,545334845;-5,968112305;5,477337285;62,49991206;82,74357318;-0,320362894;-0,10879584;-0,256407825;0,343448624;0,701068063;0,102972885;-0,138246777;0,677708874
