Right Collar Abduction;Right Collar Internal;Right Shoulder Abduction;Right Shoulder Internal;Right Shoulder Flexion;Right Elbow Pronation;Right Elbow Flexion;Right Wrist Ulnar;Right Wrist Flexion;Right Hip Flexion;Right Knee Flexion;Right Ankle Dorsiflexion;Left Collar Abduction;Left Collar Internal;Left Shoulder Abduction;Left Shoulder Internal;Left Shoulder Flexion;Left Elbow Pronation;Left Elbow Flexion;Left Wrist Ulnar;Left Wrist Flexion;Left Hip Flexion;Left Knee Flexion;Left Ankle Dorsiflexion;Right Pelvis X;Right Pelvis Y;Right Pelvis Z;Right Pelvis Q0;Right Pelvis Q1;Right Pelvis Q2;Right Pelvis Q3;Left Pelvis X;Left Pelvis Y;Left Pelvis Z;Left Pelvis Q0;Left Pelvis Q1;Left Pelvis Q2;Left Pelvis Q3;RLeft Collar Abduction;RLeft Collar Internal;RLeft Shoulder Abduction;RLeft Shoulder Internal;RLeft Shoulder Flexion;RLeft Elbow Pronation;RLeft Elbow Flexion;RLeft Wrist Ulnar;RLeft Wrist Flexion;RLeft Hip Flexion;RLeft Knee Flexion;RLeft Ankle Dorsiflexion;LRight Collar Abduction;LRight Collar Internal;LRight Shoulder Abduction;LRight Shoulder Internal;LRight Shoulder Flexion;LRight Elbow Pronation;LRight Elbow Flexion;LRight Wrist Ulnar;LRight Wrist Flexion;LRight Hip Flexion;LRight Knee Flexion;LRight Ankle Dorsiflexion
-5,299187587;1,025461745;10,19671745;45,59493419;73,08355622;116,6040782;20,87903861;-7,990049168;-4,093268168;44,43318356;72,48740134;-2,420356416;-6,407952984;-0,715109981;10,02807795;35,53239487;68,40862085;115,056307;21,08600183;-0,378770283;-4,903605342;42,93297342;73,50753257;0,799114117;-0,097907723;-0,250844715;0,378561129;0,681057032;0,164855436;-0,189063573;0,676983361;-0,115174999;-0,244456856;0,384044811;0,697676497;0,16750683;-0,199187461;0,656013039;-6,536555248;0,215851655;-1,954125406;45,82576189;70,89757849;108,8180548;-3,823718223;-2,961322865;-0,011754496;45,06930789;74,9341771;1,098462138;-4,032651217;0,34671988;4,597073179;49,98865186;73,63614284;119,0872052;1,59551678;-9,222979815;-1,844675706;42,3841348;71,45483352;-2,517221097
-5,299243277;1,025431197;10,20797071;45,57866261;73,07565644;116,5449128;20,922458;-7,977839355;-4,115363478;44,43233003;72,48697126;-2,42033593;-6,408276923;-0,713468294;10,03720238;35,51975156;68,40099376;115,0231379;21,12452423;-0,363974723;-4,91674211;42,9320899;73,50723053;0,799085355;-0,097909422;-0,250845391;0,378561294;0,681055353;0,164856831;-0,189068013;0,676983735;-0,115172933;-0,244459473;0,384042418;0,697675814;0,16751351;-0,199190508;0,656011904;-6,536928456;0,214740126;-1,953711418;45,82482136;70,89759561;108,8173456;-3,822468028;-2,961272657;-0,011765161;45,06866599;74,9340289;1,098642021;-4,034276733;0,343080371;4,599094421;49,98742121;73,63642434;119,0873331;1,597611324;-9,222989007;-1,844925445;42,38340601;71,45472892;-2,517286231
-5,299261507;1,025404436;10,21916597;45,56253921;73,06771842;116,4855298;20,96584512;-7,965639322;-4,137401244;44,43146867;72,48653361;-2,420318946;-6,40858312;-0,711811353;10,04625386;35,50713578;68,39335169;114,9900342;21,16302236;-0,34930322;-4,929915156;42,93118048;73,50691798;0,799059258;-0,097911101;-0,250846063;0,378561455;0,681053676;0,164858237;-0,189072482;0,676984098;-0,115170855;-0,24446208;0,384040045;0,697675095;0,167520288;-0,199193615;0,656010763;-6,5373297;0,213614425;-1,953262003;45,82393221;70,89764109;108,8165427;-3,821237368;-2,961232604;-0,011770417;45,06802228;74,9338841;1,098825185;-4,03593783;0,339454605;4,601168038;49,98627372;73,63671246;119,0873869;1,599706082;-9,223022545;-1,845190266;42,38264721;71,45461275;-2,517340748
-5,299186155;1,025407308;10,23036499;45,5465312;73,05967022;116,4246177;21,00952607;-7,953448036;-4,159486724;44,43061163;72,48607224;-2,420321092;-6,408917593;-0,710029058;10,05524723;35,49435571;68,38560744;114,9578039;21,20194212;-0,334638897;-4,943788176;42,93052711;73,50667567;0,799016893;-0,097912666;-0,250846628;0,378561598;0,681051917;0,164859531;-0,189076964;0,676984543;-0,115168678;-0,244464587;0,384037633;0,697674504;0,167525834;-0,199195289;0,656009951;-6,537778598;0,212464984;-1,952672085;45,82325724;70,89780056;108,8155232;-3,820056726;-2,961280628;-0,011665982;45,06738963;74,93372754;1,09899336;-4,037637395;0,335846698;4,603379816;49,98540678;73,63705186;119,0871775;1,601841129;-9,223050795;-1,845478146;42,38214967;71,45460601;-2,517366034
-5,299048567;1,025442894;10,24222882;45,53002252;73,05139593;116,3611445;21,05528015;-7,941366714;-4,182158181;44,4297758;72,48560332;-2,420327558;-6,409176051;-0,708207146;10,06450306;35,48154024;68,37790595;114,9238007;21,24183204;-0,319843713;-4,957993729;42,92983649;73,50640938;0,798969623;-0,097914333;-0,250847224;0,378561818;0,681050197;0,164860715;-0,189081255;0,67698507;-0,115166371;-0,244467089;0,38403525;0,697674049;0,167531443;-0,19919692;0,656009021;-6,538197146;0,211440152;-1,951758132;45,82282913;70,89812013;108,8140611;-3,81894437;-2,961189116;-0,011710702;45,06674697;74,93350668;1,099147208;-4,039445782;0,33237825;4,605637494;49,98492184;73,63739144;119,0865881;1,603860732;-9,223112813;-1,845789171;42,38163657;71,45459531;-2,517336296
-5,298819128;1,025674003;10,25526482;45,51158147;73,04224049;116,2915402;21,10495122;-7,928987877;-4,205994393;44,42883706;72,48506845;-2,420372556;-6,409394299;-0,706194309;10,07496036;35,46705691;68,36975387;114,8854481;21,28642596;-0,303738678;-4,974437691;42,92904055;73,50610461;0,798913377;-0,097915922;-0,25084792;0,378562162;0,681048408;0,164862481;-0,189085572;0,676985654;-0,11516456;-0,244469488;0,384032822;0,697674257;0,167537366;-0,199198736;0,656007458;-6,538556511;0,210435784;-1,95002256;45,82238329;70,89836814;108,8124079;-3,817815758;-2,96093183;-0,011693946;45,06600292;74,9332057;1,099235503;-4,041500441;0,328880986;4,608088019;49,98486301;73,63756658;119,085542;1,605936971;-9,223344535;-1,846123118;42,38099602;71,4545032;-2,517228519
-5,298700945;1,025996567;10,26951936;45,49123809;73,03245041;116,2158674;21,15890224;-7,915013856;-4,231547761;44,42772947;72,48446629;-2,420422991;-6,409815949;-0,704269317;10,0862619;35,45050292;68,36078559;114,8424618;21,33597365;-0,286396618;-4,992223913;42,92831947;73,50582711;0,798837789;-0,097917106;-0,250848583;0,378562825;0,681045979;0,164865351;-0,189089776;0,676986792;-0,115163419;-0,244471262;0,384031039;0,697674585;0,167542855;-0,199200676;0,656005784;-6,53873784;0,209478885;-1,947812768;45,82212821;70,89873855;108,8105563;-3,816934501;-2,960511061;-0,011663871;45,06506026;74,9327545;1,099205435;-4,043507921;0,325486025;4,610687745;49,98469021;73,63784815;119,0846355;1,607846398;-9,223596834;-1,846330748;42,38041351;71,45443369;-2,517142346
-5,298612478;1,026191066;10,28485118;45,46978055;73,0228288;116,1364202;21,21638181;-7,90007767;-4,258378083;44,42689519;72,48399166;-2,420514096;-6,410386158;-0,702355128;10,09808668;35,43348408;68,3516167;114,7977856;21,38684154;-0,269084278;-5,00954423;42,92782179;73,50562706;0,798793075;-0,097918256;-0,250849251;0,378563484;0,681043846;0,164867423;-0,189092957;0,676988194;-0,115162432;-0,244472765;0,384029366;0,697675195;0,167547227;-0,199202112;0,656004244;-6,53878123;0,208706272;-1,945324634;45,82173297;70,89914063;108,8088806;-3,815936159;-2,960271753;-0,011799574;45,06435388;74,93241191;1,099181611;-4,04544902;0,322124669;4,61334872;49,9845087;73,63826467;119,0838895;1,609558966;-9,223906999;-1,846538229;42,3800405;71,45442218;-2,517096336
-5,298239894;1,026407269;10,30087628;45,44715;73,01333969;116,0541117;21,27683265;-7,885354455;-4,286052499;44,42615772;72,48357777;-2,420595593;-6,410918079;-0,700162583;10,1103551;35,41648085;68,34220818;114,7498497;21,43981831;-0,251422044;-5,026841146;42,92703362;73,50534909;0,798868118;-0,097919494;-0,250849947;0,378564176;0,681042007;0,164869393;-0,189095859;0,676989485;-0,115161473;-0,244474308;0,384027862;0,697675442;0,167552905;-0,199204502;0,656002488;-6,538907595;0,207868334;-1,942615091;45,82114385;70,89957212;108,8073305;-3,815027596;-2,960123966;-0,011996312;45,06369442;74,93209027;1,099202431;-4,047529223;0,318760415;4,616410947;49,98418076;73,6387547;119,083419;1,611047801;-9,224109095;-1,846663258;42,37962658;71,45438578;-2,517101317
-5,297561689;1,026571614;10,31741014;45,42351686;73,00360675;115,9690882;21,33974962;-7,870541012;-4,313970168;44,42538479;72,48310647;-2,420680429;-6,411446276;-0,698135507;10,12329653;35,39909806;68,33251156;114,6971203;21,49558306;-0,23315472;-5,045261183;42,92563347;73,50494893;0,799229787;-0,097920632;-0,250850732;0,378565003;0,681040315;0,16487155;-0,189098719;0,676990715;-0,115160381;-0,244475916;0,384026704;0,697674588;0,167561036;-0,199209446;0,656000476;-6,539030865;0,207095639;-1,939741941;45,8204148;70,89995027;108,8058636;-3,814442695;-2,959797152;-0,01184305;45,06299568;74,93169914;1,099198462;-4,049551843;0,315588634;4,619902649;49,98351577;73,63919009;119,0829466;1,612452671;-9,224050272;-1,846970576;42,37909661;71,4543172;-2,5171311
